An Unearthly Child,1963-11-23,23:24,4.4,63
The Cave of Skulls,1963-11-30,24:26,5.9,59
The Forest of Fear,1963-12-07,23:38,6.9,56
The Firemaker,1963-12-14,24:22,6.4,55
The Dead Planet,1963-12-21,24:22,6.9,59
The Survivors,1963-12-28,24:27,6.4,58
The Escape,1964-01-04,25:10,8.9,63
The Ambush,1964-01-11,24:37,9.9,63
The Expedition,1964-01-18,24:31,9.9,63
The Ordeal,1964-01-25,26:14,10.4,63
The Rescue,1964-02-01,22:24,10.4,65
The Edge of Destruction,1964-02-08,25:04,10.4,61
The Brink of Disaster,1964-02-15,22:11,9.9,60
The Roof of the World,1964-02-22,24:12,9.4,63
The Singing Sands,1964-02-29,26:34,9.4,62
Five Hundred Eyes,1964-03-07,22:20,9.4,62
The Wall of Lies,1964-03-14,24:48,9.9,60
Rider from Shang-Tu,1964-03-21,23:26,9.4,59
Mighty Kublai Khan,1964-03-28,25:36,8.4,59
Assassain at Peking,1964-04-04,24:48,10.4,59
The Sea of Death,1964-04-11,23:20,9.9,62
The Velvet Web,1964-04-18,25:37,9.4,60
The Screaming Jungle,1964-04-25,23:45,9.9,61
The Snows of Terror,1964-05-02,24:54,10.4,60
Sentence of Death,1964-05-09,25:03,7.9,61
The Keys of Marinus,1964-05-16,25:11,6.9,63
The Temple of Evil,1964-05-23,23:56,7.4,62
The Warriors of Death,1964-05-30,24:11,7.4,62
The Bride of Sacrifice,1964-06-06,25:27,7.9,57
The Day of Darkness,1964-06-13,25:30,7.4,58
Strangers in Space,1964-06-20,24:46,7.9,59
The Unwilling Warriors,1964-06-27,24:44,6.9,59
Hidden Danger,1964-07-11,24:53,7.4,56
A Race Against Death,1964-07-18,24:49,5.5,60
Kidnap,1964-07-25,25:47,6.9,57
A Desperate Venture,1964-08-01,24:29,6.9,57
A Land of Fear,1964-08-08,24:24,6.9,58
Guests of Madame Guillotine,1964-08-15,24:04,6.9,54
A Change of Identity,1964-08-22,25:23,6.9,55
The Tyrant of France,1964-08-29,24:46,6.4,53
A Bargain of Necessity,1964-09-05,23:51,6.9,53
Prisoners of Conciergerie,1964-09-12,25:04,6.4,55
Planet of Giants,1964-10-31,23:15,8.4,57
Dangerous Journey,1964-11-07,23:40,8.4,58
Crisis,1964-11-14,26:35,8.9,59
World's End,1964-11-21,23:42,11.4,63
The Daleks,1964-11-28,24:19,12.4,59
Day of Reckoning,1964-12-05,26:50,11.9,59
The End of Tomorrow,1964-12-12,23:23,11.9,59
The Waking Ally,1964-12-19,24:29,11.4,58
Flashpoint,1964-12-26,25:21,12.4,63
The Powerful Enemy,1965-01-02,26:15,12.0,57
Desperate Measures,1965-01-09,24:36,13.0,59
The Slave Traders,1965-01-16,24:14,13.0,53
All Roads Lead to Rome,1965-01-23,23:14,11.5,51
Conspiracy,1965-01-30,26:18,10.0,50
Inferno,1965-02-06,23:09,12.0,50
The Web Planet,1965-02-13,23:57,13.5,56
The Zarbi,1965-02-20,23:20,12.5,53
Escape to Danger,1965-02-27,22:52,12.5,53
Crater of Needles,1965-03-06,25:50,13.0,49
Invasion,1965-03-13,26:04,12.0,48
The Centre,1965-03-20,24:32,11.5,42
The Lion,1965-03-27,24:56,10.5,51
The Kinght of Jaffa,1965-04-03,23:28,8.5,50
The Wheel of Fortune,1965-04-10,24:51,9.0,49
The Warlords,1965-04-17,23:40,9.5,48
The Space Museum,1965-04-24,23:38,10.5,61
The Dimensions of Time,1965-05-01,22:00,9.2,53
The Search,1965-05-08,23:33,8.5,56
The Final Phase,1965-05-15,22:15,8.5,49
The Executioners,1965-05-22,25:25,10.0,57
The Death of Time,1965-05-29,23:32,9.5,56
Flight Through Eternity,1965-06-05,25:23,9.0,55
Journey Into Terror,1965-06-12,23:49,9.5,54
The Death of Doctor Who,1965-06-19,23:27,9.0,56
The Planet of Decision,1965-06-26,26:29,9.5,57
The Watcher,1965-07-03,24:05,8.9,57
The Meddling Monk,1965-07-10,25:17,8.8,49
A Battle of Wits,1965-07-17,24:10,7.7,53
Checkmate,1965-07-24,24:00,8.3,54
Four Hundred Dawns,1965-09-11,22:21,9.0,56
Trap of Steel,1965-09-18,24:51,9.5,55
Air Lock,1965-09-25,24:19,11.3,54
The Exploding Planet,1965-10-02,24:47,9.9,53
Mission to the Unknown,1965-10-09,24:42,8.3,54
Temple of Secrets,1965-10-16,24:45,8.3,48
"Small Prophet, Quick Return",1965-10-23,24:43,8.1,51
Death of a Spy,1965-10-30,25:39,8.7,49
Horse of Destruction,1965-11-06,24:25,8.3,52
The Nightmare Begins,1965-11-13,22:52,9.1,54
Escape Switch,1966-01-15,23:37,9.5,50
The Abandoned Planet,1966-01-22,24:34,9.8,49
Destruction of Time,1966-01-29,23:31,8.6,57
Day of Armageddon,1965-11-20,24:25,9.8,52
Devil's Planet,1965-11-27,24:30,10.3,52
The Traitors,1965-12-04,24:42,9.5,51
Counter Plot,1965-12-11,24:03,9.9,53
Coronas of the Sun,1965-12-18,24:45,9.1,56
The Feast of Steven,1965-12-25,24:36,7.9,39
Volcano,1966-01-01,24:42,9.6,49
Golden Death,1966-01-08,24:38,9.2,52
War of God,1966-02-05,24:51,8.0,52
The Sea Beggar,1966-02-12,24:43,6.0,52
Priest of Death,1966-02-19,24:33,5.9,49
Bell of Doom,1966-02-26,25:06,5.8,53
The Steel Sky,1966-03-05,24:00,5.5,55
The Plague,1966-03-12,25:00,6.9,56
The Return,1966-03-19,24:19,6.2,51
The Bomb,1966-03-26,24:37,7.3,50
The Celestial Toyroom,1966-04-02,24:40,8.0,48
The Hall of Dolls,1966-04-09,24:45,8.0,49
The Dancing Floor,1966-04-16,24:10,9.4,44
The Final Test,1966-04-23,23:57,7.8,43
A Holiday for the Doctor,1966-04-30,23:48,6.5,45
Don't Shoot the Pianist,1966-05-07,23:47,6.6,39
Johnny Ringo,1966-05-14,23:52,6.2,36
The OK Corral,1966-05-21,23:53,5.7,30
Episode 1,1966-05-28,23:41,4.8,48
Episode 2,1966-06-04,23:57,5.6,49
Episode 3,1966-06-11,24:59,5.0,48
Episode 4,1966-06-18,24:41,4.5,48
Episode 1,1966-06-25,24:01,5.4,49
Episode 2,1966-07-02,24:00,4.7,45
Episode 3,1966-07-09,23:58,5.3,44
Episode 4,1966-07-16,23:11,5.5,39
Episode 1,1966-09-10,24:36,4.3,47
Episode 2,1966-09-17,24:27,4.9,45
Episode 3,1966-09-24,23:55,4.2,43
Episode 4,1966-10-01,23:37,4.5,43
Episode 1,1966-10-08,23:08,5.5,50
Episode 2,1966-10-15,23:15,6.4,48
Episode 3,1966-10-22,23:31,7.6,48
Episode 4,1966-10-29,24:02,7.5,47
Episode 1,1966-11-05,25:43,7.9,43
Episode 2,1966-11-12,24:29,7.8,45
Episode 3,1966-11-19,23:31,7.5,44
Episode 4,1966-11-26,24:23,7.8,47
Episode 5,1966-12-03,23:38,8.0,48
Episode 6,1966-12-10,23:46,7.8,47
Episode 1,1966-12-17,24:38,6.7,47
Episode 2,1966-12-24,23:41,6.8,46
Episode 3,1966-12-31,22:54,7.4,47
Episode 4,1967-01-07,24:19,7.3,47
Episode 1,1967-01-14,24:18,8.3,48
Episode 2,1967-01-21,25:00,7.5,46
Episode 3,1967-01-28,24:09,7.1,45
Episode 4,1967-02-04,23:20,7.0,47
Episode 1,1967-02-11,24:12,8.1,50
Episode 2,1967-02-18,24:42,8.9,49
Episode 3,1967-02-25,26:11,8.2,53
Episode 4,1967-03-04,23:28,8.1,58
Episode 1,1967-03-11,22:58,8.0,50
Episode 2,1967-03-18,23:21,7.9,48
Episode 3,1967-03-25,23:24,8.5,52
Episode 4,1967-04-01,24:41,8.4,49
Episode 1,1967-04-08,23:47,8.0,51
Episode 2,1967-04-15,25:22,6.4,50
Episode 3,1967-04-22,23:10,7.9,53
Episode 4,1967-04-29,24:28,6.9,55
Episode 5,1967-05-06,23:34,7.1,55
Episode 6,1967-05-13,23:38,8.0,52
Episode 1,1967-05-20,24:07,8.1,51
Episode 2,1967-05-27,25:13,7.5,51
Episode 3,1967-06-03,24:27,6.1,52
Episode 4,1967-06-10,24:43,5.3,51
Episode 5,1967-06-17,25:23,5.1,53
Episode 6,1967-06-24,24:48,6.8,49
Episode 7,1967-07-01,24:33,6.1,56
Episode 1,1967-09-02,23:58,6.0,53
Episode 2,1967-09-09,24:44,6.4,52
Episode 3,1967-09-16,24:14,7.2,49
Episode 4,1967-09-23,23:22,7.4,50
Episode 1,1967-09-30,24:15,6.3,50
Episode 2,1967-10-07,23:15,6.0,52
Episode 3,1967-10-14,23:55,7.1,51
Episode 4,1967-10-21,24:11,7.1,50
Episode 5,1967-10-28,23:51,7.2,51
Episode 6,1967-11-04,23:31,7.4,52
Episode 1,1967-11-11,24:21,6.7,52
Episode 2,1967-11-18,24:16,7.1,52
Episode 3,1967-11-25,23:58,7.4,51
Episode 4,1967-12-02,24:23,7.3,51
